,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
27,-525.7351,131.05486,-17.803482,3.4961214,9.055151,3.3757117,-13.11308,-17.120264,-11.613306,-13.590911,-8.195396,-7.007256,-8.324058
28,-590.8348,154.0595,-19.364803,14.965189,4.4429865,6.535083,-8.243615,-14.490973,-8.679857,-15.063622,-11.411367,-7.7089424,-7.0677705
29,-557.20056,158.95285,-13.848406,15.814397,-1.250952,-0.91478866,-11.518535,-14.749311,-6.532742,-16.489363,-13.767735,-10.505369,-11.019878
30,-440.2334,158.12144,-51.424454,0.27826196,-9.749949,-17.113846,-16.706476,-17.080954,-22.180998,-15.74419,-10.423085,-9.529555,1.0010897
31,-555.84534,145.90268,-23.252678,25.892263,7.4600186,-4.6341515,-6.5271907,-16.097345,-17.80782,-14.568044,-8.195885,-5.378798,-4.940821
32,-471.50198,147.30101,-18.388483,6.558387,-5.3058124,-12.5037,-18.671535,-22.89667,-16.152256,-9.723819,-13.854044,-12.037605,-1.77542
33,-442.99362,164.98688,-42.97973,5.672304,-4.5237136,-6.3079295,-19.34138,-25.691607,-25.78158,-20.001232,-7.975392,-8.22257,-7.097194
34,-563.79047,158.02347,-11.230905,11.977026,-8.467524,-11.047824,-11.084687,-15.182179,-12.5464945,-6.977471,-5.5599885,-5.773253,-0.10312945
35,-526.5365,166.18373,-8.173456,12.588244,-13.016073,-17.895512,-7.144077,-15.263091,-21.913496,-13.545345,-7.3682466,-10.324028,-3.3881142
36,-549.99805,156.22821,-12.158516,11.326801,-3.3337235,-12.462992,-12.832822,-16.85817,-11.828161,-8.785609,-10.754764,-6.22262,-0.44126046
37,-479.17233,119.84123,-10.5242195,13.951385,4.9101753,-10.4949,-13.049897,-12.8905525,-15.054755,-13.605808,-3.2873564,-9.730525,-12.0810175
38,-551.80975,128.22888,10.600257,3.6617482,0.1642895,-6.4009423,-8.506711,-11.138148,-14.230133,-13.763649,-5.7828507,-1.3954531,-5.4652214
39,-556.9005,146.55835,-9.050123,15.558137,-0.16520078,-6.8402476,-10.485538,-20.435608,-8.892964,-7.2353935,-11.026315,-7.8094716,-6.4940715
40,-506.1672,146.69456,-10.494057,-1.945255,-3.4464958,-10.045434,-18.462078,-23.352127,-17.489683,-10.632933,-4.3185863,-4.9983864,-4.4246044
41,-586.5878,165.66563,-14.786174,13.775274,1.2087358,3.0426288,-11.081234,-8.555494,-6.1909757,-15.515709,-10.652331,-8.457768,-8.283203
42,-511.0235,138.51883,-27.771894,15.6969595,1.6437807,1.3649788,-16.95417,-21.319616,-15.301466,-14.069878,-8.011874,-5.869388,-3.9716814
43,-524.87756,166.2286,-31.604359,11.757902,-0.551814,-3.355373,-20.365593,-26.960552,-21.827261,-14.0604725,-7.6677737,-7.6197996,-2.9578333
44,-505.66434,171.43259,-15.99262,3.550302,8.651151,1.8057618,-9.961894,-15.969723,-14.796114,-20.127747,-10.437372,-5.771229,-5.0502987
45,-529.7422,153.6934,-4.600585,4.9573636,10.128543,-2.412387,-13.165026,-17.254185,-10.884793,-14.648155,-15.716787,-7.4385657,-7.4903736
46,-563.98364,151.93233,4.6888943,-2.3446715,-1.0293993,-2.4475393,-11.647421,-15.643079,-12.28991,-15.198665,-9.354216,-1.8694234,-3.5029523
47,-506.7757,153.98868,-20.91539,9.571194,0.33283135,-4.544653,-10.814503,-11.509326,-18.682621,-23.07981,-9.567884,-13.083103,-13.163729
48,-506.49326,161.60732,-19.735182,10.415938,-3.7530355,-7.0360026,-14.43087,-17.258667,-20.247898,-13.4906645,-3.830694,-6.8532825,-4.5115
49,-456.81448,155.05673,-26.21148,11.762977,-4.598578,-9.714488,-17.945578,-27.209682,-22.991354,-15.961632,-8.670707,-7.6210413,-3.9826434
50,-488.53812,153.10426,-28.878325,-0.283968,3.1130552,-2.0084019,-19.342457,-16.945919,-12.879027,-7.9200606,0.55898875,-5.319192,-4.067315
51,-490.42792,155.58151,-34.265797,11.599491,-3.8705406,-3.5379758,-14.894737,-19.770845,-14.607254,-17.696245,-13.808224,-13.259738,-6.500223
52,-449.89783,165.86865,-46.83425,0.57208264,-11.832725,-9.6094675,-15.812706,-20.65804,-18.74922,-19.855095,-15.183276,-9.117486,-7.550155
